,Oats,Oats,Oats,Oats
,mean,std,min,max
RM,,,,
1,71.5335,21.811761258791694,34.5,120.2
10,31.399999999999995,7.915666603500791,20.2,42.8
100,51.396428571428565,24.339683206061423,16.0,94.3
101,36.904705882352935,11.489929350113004,12.4,56.8
102,45.86454545454546,14.512374970098012,25.6,70.0
103,46.446363636363635,11.426234964087929,20.0,61.1
104,43.61,10.816083262570473,29.98,62.5
105,47.709333333333326,16.4085480626352,22.5,89.94
106,49.77428571428572,17.458120228270914,24.32,70.9
107,51.376363636363635,21.246540552629867,24.7,89.5
108,51.19199999999999,22.357006756520672,20.2,90.0
109,56.58571428571428,12.308727062729188,40.0,72.0
11,35.68181818181818,15.707247892728898,8.0,60.0
110,42.19294117647059,16.00397441446416,11.0,67.1
111,56.32846153846155,30.146671968382034,26.7,136.8
12,47.485,20.768186714582587,10.5,82.9
121,74.8415,18.196926077890474,53.1,112.8
122,67.16263157894737,14.410425563191419,40.3,94.9
123,68.8675,16.13499918451224,44.9,104.3
124,64.26100000000001,13.680078062258039,40.9,90.4
125,70.061,12.639025986789363,47.0,98.1
126,59.198,15.516246019134774,21.9,81.9
127,65.55,14.380233875559515,45.1,104.9
128,78.85000000000001,26.711714658553838,41.5,149.3
129,58.37307692307692,13.079984317406108,27.6,70.9
130,47.85142857142857,17.387462368587535,33.26,83.7
131,54.081999999999994,15.167282169889656,24.5,74.9
132,50.2775,15.768021435804814,12.2,75.2
133,54.52249999999999,22.860706711815286,17.29,100.0
134,48.663846153846144,14.217987163250605,27.7,80.8
135,41.36357142857143,17.52628338640738,5.1,70.1
136,50.50857142857143,15.669987692583367,30.4,74.96
137,63.01375,34.87392105345852,13.7,118.0
138,51.23222222222222,16.54340762804666,19.2,78.3
139,52.172000000000004,17.307873656989635,15.2,80.01
141,48.940000000000005,12.719818307577267,19.9,65.0
142,66.25750000000001,22.917834311850992,28.79,102.5
151,67.62650000000001,12.848340165173088,41.7,91.4
152,62.472,16.046565987774454,35.5,93.9
153,69.392,24.918452389217194,31.6,121.6
154,67.64949999999999,16.14088873669992,38.3,102.7
155,71.858,17.126369818437727,45.3,116.3
156,70.20899999999999,19.121046244222203,36.7,128.1
157,59.20899999999999,13.528689943189153,34.8,80.5
158,64.1129411764706,18.548572305135064,33.2,113.5
159,73.51117647058823,28.555210094296484,38.7,141.5
160,67.92999999999999,17.598399839845584,41.3,101.9
161,78.96374999999999,26.18658540850912,25.9,113.0
162,55.15181818181818,24.942304151053012,27.9,104.3
163,52.73466666666666,20.114906294539264,4.5,85.8
164,38.847142857142856,10.412804564626137,24.0,62.5
165,47.586999999999996,15.367334801093158,28.2,78.2
166,51.53812500000001,15.52791302515141,14.7,71.4
167,50.32941176470589,17.33012387094659,3.6,80.0
168,48.637894736842114,19.419493808183613,13.4,75.0
169,53.46363636363637,14.345819790257561,27.3,74.0
17,56.35166666666667,15.830788088883999,36.1,80.3
171,43.557142857142864,17.14382033924107,16.2,75.8
18,68.68333333333334,18.457812257505854,49.3,86.05
