RM,Oats_mean,Oats_std,Clusters_4,Clusters_6
1,71.5335,21.811761258791694,2,2
10,31.399999999999995,7.915666603500791,3,0
100,51.396428571428565,24.339683206061423,3,5
101,36.904705882352935,11.489929350113004,3,0
102,45.86454545454546,14.512374970098012,3,0
103,46.446363636363635,11.426234964087929,3,0
104,43.61,10.816083262570473,3,0
105,47.709333333333326,16.4085480626352,3,0
106,49.77428571428572,17.458120228270914,3,0
107,51.376363636363635,21.246540552629867,3,5
108,51.19199999999999,22.357006756520672,3,5
109,56.58571428571428,12.308727062729188,1,5
11,35.68181818181818,15.707247892728898,3,0
110,42.19294117647059,16.00397441446416,3,0
111,56.32846153846155,30.146671968382034,1,5
12,47.485,20.768186714582587,3,0
121,74.8415,18.196926077890474,2,4
122,67.16263157894737,14.410425563191419,1,2
123,68.8675,16.13499918451224,1,2
124,64.26100000000001,13.680078062258039,1,2
125,70.061,12.639025986789363,2,2
126,59.198,15.516246019134774,1,5
127,65.55,14.380233875559515,1,2
128,78.85000000000001,26.711714658553838,2,4
129,58.37307692307692,13.079984317406108,1,5
130,47.85142857142857,17.387462368587535,3,0
131,54.081999999999994,15.167282169889656,3,5
132,50.2775,15.768021435804814,3,0
133,54.52249999999999,22.860706711815286,1,5
134,48.663846153846144,14.217987163250605,3,0
135,41.36357142857143,17.52628338640738,3,0
136,50.50857142857143,15.669987692583367,3,0
137,63.01375,34.87392105345852,1,5
138,51.23222222222222,16.54340762804666,3,5
139,52.172000000000004,17.307873656989635,3,5
141,48.940000000000005,12.719818307577267,3,0
142,66.25750000000001,22.917834311850992,1,2
151,67.62650000000001,12.848340165173088,1,2
152,62.472,16.046565987774454,1,2
153,69.392,24.918452389217194,2,2
154,67.64949999999999,16.14088873669992,1,2
155,71.858,17.126369818437727,2,2
156,70.20899999999999,19.121046244222203,2,2
157,59.20899999999999,13.528689943189153,1,5
158,64.1129411764706,18.548572305135064,1,2
159,73.51117647058823,28.555210094296484,2,4
160,67.92999999999999,17.598399839845584,1,2
161,78.96374999999999,26.18658540850912,2,4
162,55.15181818181818,24.942304151053012,1,5
163,52.73466666666666,20.114906294539264,3,5
164,38.847142857142856,10.412804564626137,3,0
165,47.586999999999996,15.367334801093158,3,0
166,51.53812500000001,15.52791302515141,3,5
167,50.32941176470589,17.33012387094659,3,0
168,48.637894736842114,19.419493808183613,3,0
169,53.46363636363637,14.345819790257561,3,5
17,56.35166666666667,15.830788088883999,1,5
171,43.557142857142864,17.14382033924107,3,0
18,68.68333333333334,18.457812257505854,1,2
181,78.06700000000001,13.991884903682374,2,4
183,65.0265,15.548673416082798,1,2
184,61.330999999999996,14.202078758147753,1,5
185,71.728,18.772436849358634,2,2
186,80.06049999999999,19.844664263646344,2,4
187,73.2,19.733672069164758,2,2
189,60.37764705882355,22.49181921538689,1,5
19,52.50999999999999,27.175577638754984,3,5
190,45.879,9.568127408498652,3,0
191,78.23,17.945641731151806,2,4
193,50.899,15.039044587514963,3,0
194,42.66764705882354,14.428296646439144,3,0
2,67.0625,15.079790894473723,1,2
211,75.7125,16.523947175634454,2,4
213,76.10900000000001,17.107949798727766,2,4
214,66.30999999999999,12.686980064534456,1,2
215,73.11000000000001,16.42744270068261,2,2
216,74.37049999999999,17.249165799814012,2,2
217,70.63449999999999,15.057129968713717,2,2
218,61.899473684210534,12.279243766835972,1,2
219,59.2678947368421,15.32487215061674,1,5
220,59.523,15.741786530057343,1,5
221,56.501999999999995,15.167068411875986,1,5
